prompt,class_name,classidx
a photo of a blue cube,blue cube,1
a photo of a blue sphere,blue sphere,3
a photo of a brown cone,brown cone,4
a photo of a brown cube,brown cube,5
a photo of a cyan cylinder,cyan cylinder,10
a photo of a cyan sphere,cyan sphere,11
a photo of a gray cube,gray cube,13
a photo of a gray sphere,gray sphere,15
a photo of a green cylinder,green cylinder,18
a photo of a green sphere,green sphere,19
a photo of a purple cone,purple cone,20
a photo of a purple cylinder,purple cylinder,22
a photo of a purple sphere,purple sphere,23
a photo of a red cylinder,red cylinder,26
a photo of a red sphere,red sphere,27
a photo of a yellow cone,yellow cone,28
a photo of a yellow sphere,yellow sphere,31
