prompt,class_name,classidx
a photo of a blue cone,blue cone,0
a photo of a blue cube,blue cube,1
a photo of a blue cylinder,blue cylinder,2
a photo of a blue sphere,blue sphere,3
a photo of a brown cone,brown cone,4
a photo of a brown cube,brown cube,5
a photo of a brown cylinder,brown cylinder,6
a photo of a brown sphere,brown sphere,7
a photo of a cyan cone,cyan cone,8
a photo of a cyan cube,cyan cube,9
a photo of a cyan cylinder,cyan cylinder,10
a photo of a cyan sphere,cyan sphere,11
a photo of a gray cone,gray cone,12
a photo of a gray cube,gray cube,13
a photo of a gray cylinder,gray cylinder,14
a photo of a gray sphere,gray sphere,15
a photo of a green cone,green cone,16
a photo of a green cube,green cube,17
a photo of a green cylinder,green cylinder,18
a photo of a green sphere,green sphere,19
a photo of a purple cone,purple cone,20
a photo of a purple cube,purple cube,21
a photo of a purple cylinder,purple cylinder,22
a photo of a purple sphere,purple sphere,23
a photo of a red cone,red cone,24
a photo of a red cube,red cube,25
a photo of a red cylinder,red cylinder,26
a photo of a red sphere,red sphere,27
a photo of a yellow cone,yellow cone,28
a photo of a yellow cube,yellow cube,29
a photo of a yellow cylinder,yellow cylinder,30
a photo of a yellow sphere,yellow sphere,31
